review_text,rating,review_date
app is note active working crash,1,2025-11-30 21:57:28
🙏👍,5,2025-11-29 03:47:54
Very Good,5,2025-11-28 20:18:20
goof,5,2025-11-28 13:33:37
good!,5,2025-11-28 12:19:31
good jop,5,2025-11-27 13:19:25
bad exprience...it is so crushed,1,2025-11-27 11:41:15
not user friendly at all it requires a huge connectivity and also lags many times 😑😑😑,1,2025-11-26 22:52:50
ምንም የማይ ሰራ,1,2025-11-26 13:08:10
very good,5,2025-11-25 13:15:43
most of the time is not working properly,1,2025-11-25 08:23:20
good service,5,2025-11-25 02:10:24
not use for me,3,2025-11-23 18:23:59
It keeps notifying me to disable developer options and quiet while I'm not enabled. always bring another type of problem with new updates.,1,2025-11-22 14:21:32
waw,5,2025-11-21 06:49:18
the lag is unbelievable when you need it the most this suks,1,2025-11-19 13:04:40
I cant belive I could find the worst bank app ever .yet very simple to fix the problem and the company just ignored it. no body can do business with this kind of app.,1,2025-11-18 20:28:03
it is a good app,5,2025-11-18 09:47:47
it is not working at all,1,2025-11-15 20:42:13
🥰🥰🥰🥰🥰 app is good but i was live in abroad and when i enter my otp code it didnt make me to write my code it the app want it self write thats not fair so please other wise i like it why,5,2025-11-15 19:29:15
when trying to activate the app it keeps on loading on the security questions page. It has been two days,1,2025-11-13 09:57:58
fast and simple,5,2025-11-11 03:23:24
best of best,5,2025-11-10 19:25:19
Worest Banking App Ever I seen. Fake App Bad Better to Leave,1,2025-11-10 19:03:40
good,4,2025-11-10 14:46:34
"I would like to share feedback regarding the application. It frequently experiences disruptions and does not function properly, often freezing or failing to load. This issue is affecting workflow and efficiency. Kindly review and address this problem to ensure smoother performance.",1,2025-11-08 13:11:33
Meet you genuine.App I tried is not functional.Helping.welldoingwith BOA Ethiopia .fastandrelevant.morconnecting Digitalyworld.Digitalyworld. thanks.,5,2025-11-08 12:18:43
best app,5,2025-11-08 11:40:22
Best app,5,2025-11-07 21:15:06
"Barely works, it always fails to connect",1,2025-11-07 16:33:56
my fav app,5,2025-11-07 08:04:39
this app launch time is so long also has dozen bugs in addition it's has been long time get update,1,2025-11-05 12:22:49
very nice,5,2025-11-04 17:21:49
"Your application is very irritating to use, some functionality doesn't even work like on the card management. You need to do better than this and it good idea to reference other banking applications.",3,2025-11-04 15:26:13
I like,5,2025-11-02 16:36:02
ወይ አሻሽሉትና እንጠቀምበት ያለያ ብታጠፉት ይሻላል። በቃ ምንም ነገር አይሰራም መተግበሪያ አለን ብላችሁ እንዳታወሩ ለማንም የማይመከር ቀርፋፋና ተግባር የለሽ መተግበሪያ,1,2025-11-01 14:12:12
i m sorry but it doesn't work for my android it is too slow but other bank are very fast please update,1,2025-10-30 22:18:43
"the worst app ever,",1,2025-10-30 21:09:22
better,5,2025-10-29 14:51:14
"I kindly request that Bank of abyssinia address issues with its mobile app. It is very slow, has numerous problems, and frequently experiences downtime. The user experience is also poor. Thank you.",1,2025-10-28 20:07:21
this app can't open? what is problem? please solve my problem?,1,2025-10-28 02:44:21
kiyaa makonn,5,2025-10-27 22:28:55
very very lazy app,1,2025-10-26 23:12:22
telebirr remittance,5,2025-10-24 16:04:33
The best bank in 🇪🇹,5,2025-10-23 20:01:50
its good,5,2025-10-22 19:14:24
the worst app in my financial experience.,1,2025-10-22 13:13:16
good for mb appliciation,5,2025-10-21 17:22:18
the worst bank ever. slow don't accept dual sim. they are very stupid and greedy,1,2025-10-20 17:36:14
try to easy network,4,2025-10-17 15:56:04
hussen hassen umer,5,2025-10-16 20:05:56
"The app is not suitable and lacks a good UI design. As a large bank, you must update your app with a professional UI that is fast and appropriate.",2,2025-10-16 11:53:31
an exceptional banking app.,5,2025-10-16 09:51:09
alhamdulilah,5,2025-10-11 09:38:31
poor,5,2025-10-11 06:59:58
Best of best,5,2025-10-09 09:31:41
from the last week updates the app is not working Please check the problems,1,2025-10-08 20:21:32
It's always crushing,1,2025-10-08 10:28:55
office branches have to improve their services please,4,2025-10-07 07:22:58
♥️♥️,5,2025-10-05 20:45:56
Why does it keep crashing? I can't even use this. BOA should do better. You have many customers and how to deal with this. I can't send money now.,1,2025-10-05 19:04:02
it needs a timely update,5,2025-10-03 09:39:36
"It does not show the name of the person who sent the money to request a receipt. This has become very difficult for us. When different people transfer the same amount to me from different banks, it is very difficult to identify the account or the name of the sender.",3,2025-10-01 22:45:17
Like,5,2025-10-01 22:10:29
I can't type my otp on it.,1,2025-10-01 18:42:50
"most of bank apps in Ethiopia are linked with ethiopian phone number, I live in US permanently so when I open BoA account, I told them where I live and to link it with email address instead of phone # as ethio phone number is not working where I live, unfortunetly my fear appeared and now when I change my phone device, it send the code to the ethio number which is not with me now. so please when u develop bank apps consider the diaspora community to use ur apps",1,2025-10-01 15:30:39
jaajja,4,2025-09-30 13:13:07
I love this bank the best experience ever.,5,2025-09-28 04:17:38
"Nothing has been improved, it doesn't work like the previous version.",1,2025-09-25 20:41:02
easy and fast,5,2025-09-24 04:20:04
Great,5,2025-09-20 17:06:09
mobile banking,5,2025-09-19 18:43:07
very good,5,2025-09-18 20:31:44
😎,5,2025-09-18 00:47:17
"need alot of connection, chooses device, very lug even when there is connection",1,2025-09-17 13:50:17
On my ios it's perfect but on android it barley works and don't transfer and after a while it crushed and totally stopped working. Please fix the issue my beloved bank of abyssinia.,1,2025-09-15 17:16:36
since the last update i can open the app crashes a lot and omg its being very slow opening and loading,2,2025-09-15 17:14:20
none,5,2025-09-14 21:21:53
good,2,2025-09-13 08:42:59
good,5,2025-09-12 11:11:17
very good app i ever used,5,2025-09-12 08:25:40
its nice app especially the transaction limit is extended but We face that BoA m.banking app doesn't respond at the activation stage strictly at SMSNG mobile phone. please try this to make safe.,4,2025-09-11 19:48:42
zedo,5,2025-09-11 02:38:59
please open my mobile app,5,2025-09-10 15:43:30
it doesn't open,1,2025-09-10 12:38:37
Very Good,5,2025-09-09 01:18:34
masha alla,5,2025-09-08 01:23:30
Best banking transaction application in Ethiopia !,5,2025-09-05 17:24:28
السلام عليكم ورحمة الله وبركاته ماشاء الله تبارك الرحمن هذا التطبيق ممتاز جدا,5,2025-09-04 18:02:58
tamaam kamal,1,2025-09-04 01:55:34
በጣም ሐሪፍ,5,2025-09-03 15:16:27
great 👍,5,2025-09-02 09:11:28
goof,4,2025-09-01 09:54:57
absiniya banki,5,2025-08-29 18:14:45
has issue after installation and i think it doesn't work with tecno common 30,1,2025-08-26 15:05:33
One of the best in this business,5,2025-08-25 16:34:55
Excellent,5,2025-08-20 20:32:23
besat🥰,5,2025-08-19 21:47:44
unlimited experience,5,2025-08-18 09:15:44
