review_text,rating,review_date
app is note active working crash,1,2025-11-30
🙏👍,5,2025-11-29
very good,5,2025-11-28
goof,5,2025-11-28
good!,5,2025-11-28
good jop,5,2025-11-27
bad exprience...it is so crushed,1,2025-11-27
not user friendly at all it requires a huge connectivity and also lags many times 😑😑😑,1,2025-11-26
ምንም የማይ ሰራ,1,2025-11-26
very good,5,2025-11-25
most of the time is not working properly,1,2025-11-25
good service,5,2025-11-25
not use for me,3,2025-11-23
it keeps notifying me to disable developer options and quiet while i'm not enabled. always bring another type of problem with new updates.,1,2025-11-22
waw,5,2025-11-21
the lag is unbelievable when you need it the most this suks,1,2025-11-19
i cant belive i could find the worst bank app ever .yet very simple to fix the problem and the company just ignored it. no body can do business with this kind of app.,1,2025-11-18
it is a good app,5,2025-11-18
it is not working at all,1,2025-11-15
🥰🥰🥰🥰🥰 app is good but i was live in abroad and when i enter my otp code it didnt make me to write my code it the app want it self write thats not fair so please other wise i like it why,5,2025-11-15
when trying to activate the app it keeps on loading on the security questions page. it has been two days,1,2025-11-13
fast and simple,5,2025-11-11
best of best,5,2025-11-10
worest banking app ever i seen. fake app bad better to leave,1,2025-11-10
good,4,2025-11-10
"i would like to share feedback regarding the application. it frequently experiences disruptions and does not function properly, often freezing or failing to load. this issue is affecting workflow and efficiency. kindly review and address this problem to ensure smoother performance.",1,2025-11-08
meet you genuine.app i tried is not functional.helping.welldoingwith boa ethiopia .fastandrelevant.morconnecting digitalyworld.digitalyworld. thanks.,5,2025-11-08
best app,5,2025-11-08
best app,5,2025-11-07
"barely works, it always fails to connect",1,2025-11-07
my fav app,5,2025-11-07
this app launch time is so long also has dozen bugs in addition it's has been long time get update,1,2025-11-05
very nice,5,2025-11-04
"your application is very irritating to use, some functionality doesn't even work like on the card management. you need to do better than this and it good idea to reference other banking applications.",3,2025-11-04
i like,5,2025-11-02
