review_text,rating,review_date
good,5,2025-11-30 16:24:48
CBE ይለያል።,5,2025-11-29 17:22:32
it's special for me,5,2025-11-29 15:54:14
Make it user friendly.,2,2025-11-29 08:17:45
maaliif daddafee install gaafata,3,2025-11-28 13:36:32
good app,5,2025-11-28 11:33:17
This application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,2025-11-27 23:08:20
why didn't work this app?,1,2025-11-27 22:40:35
The app makes our life easier. Thank you CBE!,5,2025-11-27 18:00:06
this app very bad 👎,1,2025-11-27 16:28:10
the most advanced app. but how to stay safe?,5,2025-11-27 10:03:41
Good application,4,2025-11-27 08:59:12
It is nice app,5,2025-11-26 12:03:18
best,5,2025-11-25 20:27:20
good app,5,2025-11-25 18:10:35
"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25 17:14:22
nice app...,5,2025-11-25 10:24:19
very good banking service and fast service,5,2025-11-24 21:09:29
thanks blc this app help me to use all time,5,2025-11-24 14:36:07
good,5,2025-11-24 11:54:09
why we can't send money to other people telebirr wallets??,1,2025-11-24 08:44:51
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23 23:12:04
በጣም ቀላልና ምቹ ነው።,5,2025-11-23 20:22:11
wow,5,2025-11-23 15:30:09
good,5,2025-11-23 10:13:39
nice,5,2025-11-22 20:27:39
you are the reason why i got ye chogara himem,1,2025-11-22 13:33:11
it is so smart app i recommend it for everyone,5,2025-11-22 11:51:00
excellent,5,2025-11-22 11:34:12
good,5,2025-11-21 22:11:35
ዳጊ,5,2025-11-21 19:55:17
absolutely right,5,2025-11-21 18:45:37
good app,5,2025-11-21 18:07:17
mid application it's so annoying,3,2025-11-20 18:58:06
I used morethan one year,4,2025-11-20 17:52:03
no word can explane about this app it is nice 👍👍👍👍👍,5,2025-11-20 16:15:18
"It's great app,I love this app",5,2025-11-20 11:37:22
Nice,5,2025-11-19 23:42:22
suckkkks,1,2025-11-19 19:20:20
not allowing to transfer and showing current statement updates.,1,2025-11-19 18:51:36
I love you this app,5,2025-11-19 10:09:34
"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,2025-11-19 08:28:14
make life easy,5,2025-11-19 08:02:38
securr,5,2025-11-19 05:55:07
My most optional bank,5,2025-11-17 18:08:01
5 star,5,2025-11-17 00:43:29
it is fantastic app.,5,2025-11-16 13:14:03
excellent,5,2025-11-16 11:17:05
sifen,5,2025-11-16 09:52:58
i like this√,4,2025-11-16 09:04:39
Ok,3,2025-11-16 03:50:12
ጥሩ App ነዉ ። የኔ የግል አስተያየት- Update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ Restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ። በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን ..,5,2025-11-15 22:07:10
"Seriously, what’s going on with this app? The ""Pay to Beneficiary"" option is completely disabled for Android users, yet iOS users get full access without restrictions. Why are Android users being treated like second class customers? It’s the same app, the same service, but clearly not the same experience. This kind of platform bias is unacceptable, either give everyone the same features or be transparent about why you’re limiting functionality. Right now, it just feels unfair and frustrating.",1,2025-11-15 21:51:01
Like,5,2025-11-13 17:38:49
Nice and very useful app i like it!,5,2025-11-13 13:21:35
good,5,2025-11-13 07:49:44
Good,5,2025-11-13 07:27:48
Good,5,2025-11-13 07:17:55
smart app,4,2025-11-12 21:17:20
good App,5,2025-11-12 19:14:34
