review_text,rating,review_date
good,5,2025-11-30
cbe ይለያል።,5,2025-11-29
it's special for me,5,2025-11-29
make it user friendly.,2,2025-11-29
maaliif daddafee install gaafata,3,2025-11-28
good app,5,2025-11-28
this application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,2025-11-27
why didn't work this app?,1,2025-11-27
the app makes our life easier. thank you cbe!,5,2025-11-27
this app very bad 👎,1,2025-11-27
the most advanced app. but how to stay safe?,5,2025-11-27
good application,4,2025-11-27
it is nice app,5,2025-11-26
best,5,2025-11-25
"it suddenly asked me to enter the verification key i received. and it (*get your verification key from the nearest cbe branch*) now i'm in australia, what do you expect me to do???! there is no nearest or furthermost cbe branch!! so frustrating! how can i manage my bank account now????",1,2025-11-25
nice app...,5,2025-11-25
very good banking service and fast service,5,2025-11-24
thanks blc this app help me to use all time,5,2025-11-24
why we can't send money to other people telebirr wallets??,1,2025-11-24
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23
በጣም ቀላልና ምቹ ነው።,5,2025-11-23
wow,5,2025-11-23
nice,5,2025-11-22
you are the reason why i got ye chogara himem,1,2025-11-22
it is so smart app i recommend it for everyone,5,2025-11-22
excellent,5,2025-11-22
ዳጊ,5,2025-11-21
absolutely right,5,2025-11-21
mid application it's so annoying,3,2025-11-20
i used morethan one year,4,2025-11-20
no word can explane about this app it is nice 👍👍👍👍👍,5,2025-11-20
"it's great app,i love this app",5,2025-11-20
nice,5,2025-11-19
suckkkks,1,2025-11-19
not allowing to transfer and showing current statement updates.,1,2025-11-19
i love you this app,5,2025-11-19
"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,2025-11-19
make life easy,5,2025-11-19
securr,5,2025-11-19
my most optional bank,5,2025-11-17
5 star,5,2025-11-17
it is fantastic app.,5,2025-11-16
sifen,5,2025-11-16
i like this√,4,2025-11-16
ok,3,2025-11-16
ጥሩ app ነዉ ። የኔ የግል አስተያየት- update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ። በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን ..,5,2025-11-15
"seriously, what’s going on with this app? the ""pay to beneficiary"" option is completely disabled for android users, yet ios users get full access without restrictions. why are android users being treated like second class customers? it’s the same app, the same service, but clearly not the same experience. this kind of platform bias is unacceptable, either give everyone the same features or be transparent about why you’re limiting functionality. right now, it just feels unfair and frustrating.",1,2025-11-15
like,5,2025-11-13
nice and very useful app i like it!,5,2025-11-13
good,5,2025-11-13
smart app,4,2025-11-12
good app,5,2025-11-12
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-11-12
ok,5,2025-11-11
cbe is my choice,4,2025-11-11
awesome,5,2025-11-11
i am not able to transfer. the app is not responding,1,2025-11-11
very convenient app,5,2025-11-11
excellent but sometimes can not connect,5,2025-11-10
wow apk,5,2025-11-10
best 100 %,5,2025-11-10
bad app,1,2025-11-10
best app,5,2025-11-10
nice app,5,2025-11-10
the app constantly glitches and won't stop loading despite having a decent connection and a cleared cache. telebirr is way better,1,2025-11-10
i can't access it properly i think it needs update,1,2025-11-10
👌👌,5,2025-11-10
best 👌,5,2025-11-10
not refresh,2,2025-11-10
your statement is not used as wanted,1,2025-11-10
good very good,5,2025-11-09
this is absolute trash why because it's not woking most time the servers are down even though i'm using 4g data internet they steal not working they use to work with out even data package now it's trash can't even send money,1,2025-11-09
bayeee galatooma kana caalati nu gammachisa 🌏🤌🏻💴💸🥰👌🏻🙏🏻,5,2025-11-08
good !,5,2025-11-08
i like it,5,2025-11-08
very nice app,5,2025-11-08
the app is not functional this week.,4,2025-11-08
very updated bank,5,2025-11-06
tankyu,5,2025-11-05
numbers 2 and 3 don't write during pin verification.,5,2025-11-05
"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn't been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,2025-11-05
loved it,5,2025-11-05
this app is not working on my phone,5,2025-11-03
cbe needs to show transaction fees before the transaction is confirmed and not after. this is a big issue as fees are no longer insignificant.,3,2025-11-03
"after the recent updates, i am unable to download a receipt. i can't see the names of account holders i've previously transacted with. very important. please fix it asap.",1,2025-11-03
wow 😘😘😘,4,2025-11-02
mobile banking broblem,5,2025-11-01
good job,5,2025-11-01
it is a good and clear apps to use,4,2025-10-31
ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር 5 ብር ሲተላለፍ 11 ብር እንዲቆርጥ ያደረጋችሁት,1,2025-10-31
i love this app b/c every option in the app very clear and supportive.,5,2025-10-30
niiceh,5,2025-10-29
the app is good but their is no dark mode you have to add it,3,2025-10-29
🤮,1,2025-10-29
abdulakim abrahim elemoo,5,2025-10-29
strong,5,2025-10-28
abebaw zenebe,5,2025-10-28
good i love it keep it up but if we had a new update that will be fire soo good,5,2025-10-27
cbe,5,2025-10-27
active and granted system,5,2025-10-27
fast app,4,2025-10-27
cool 😎,5,2025-10-27
galaxy a10s,3,2025-10-26
the best apps,5,2025-10-26
arif app new,5,2025-10-26
laga bari biranch,5,2025-10-26
ነነሠነሠሠነሠሠሠሠነየነ,5,2025-10-26
i would like to suggest you improve the time out as it takes the money and doesn't return it back until the next day.,3,2025-10-25
attractive,5,2025-10-25
mite,5,2025-10-24
useful,5,2025-10-24
"not good, not bad!",3,2025-10-23
very good,5,2025-10-23
እጅግ በጣም አስቀያሚ ጠቁአም ዘረፋ በሚባል ደርጃ የ አገልግሎት የሚቀበል ያልሰራበትን የገዛ ገንዝበባችንን ተዘረፍን ከ 100ብር 10ብር የአገልግሎት ማስከፈል ምን ማለት ነው እባካችሁ እዩት እስትይ ከ ሞባይል ባንክ ወደ ampsa አስተላልፉና እዩት በጣም ይገርማል ሌባ ብያቸዋልሁ,1,2025-10-22
imp,5,2025-10-22
super fast app,5,2025-10-21
"the app has a nice design and useful features like balance check and transfers, but it’s unstable and often fails to connect. it also forces users to turn off developer options, which is unnecessary — other banking apps work fine without that. many people use developer mode for normal reasons. please fix performance issues, remove this restriction, and add biometric login for better security and convenience",2,2025-10-19
cbe,4,2025-10-18
"it says ""ti is work any more in your device"" what can i do??",1,2025-10-18
blah blah blah,5,2025-10-18
bad ግዴታ መሆንሁ,1,2025-10-17
cbe no.1,5,2025-10-17
"it's not work correctly when it's needed sometimes, but it works sometimes though",2,2025-10-16
its easy to use and more secured than the previous one. i love it and appreciate commercial bank of ethiopia for every time update.,5,2025-10-16
gooof,5,2025-10-16
"suddenly the cbe application i was using stopped working and called callcenter, i was told it's because it expired and i should vist any branch to fix it. so i went to cbe silassie branch.after filling a form they gave me, i sat down and waited until they finish fixing 2 customer's case who arrived before me. but then when it was my turn ppl who came after me with same mobile banking and even atm card cases were finishing up and leaving i had to get back to my work so i left.with no service.why?",1,2025-10-16
best app,5,2025-10-16
still not perfect like before,1,2025-10-15
this app dash board is disturbing me. it is not showing me traxation and my balance while displaying others option on dashboard. i think it is a risk full app😭😭😭🤤🤤,1,2025-10-15
applied,1,2025-10-14
10 years ago,4,2025-10-14
asefa obsa,5,2025-10-14
it's good app,5,2025-10-14
very slow,1,2025-10-14
berhan deriba wami,4,2025-10-14
mahamad usman,5,2025-10-13
erako,5,2025-10-13
🔥🔥🔥🔥🔥,5,2025-10-13
opne,5,2025-10-13
mehommd nuri,5,2025-10-13
best,5,2025-10-12
providing very secure service.,5,2025-10-12
apk አሪፍ ነው ግን በጣም apkwun የሚከፍቱ የ ባንክ ሰራተኞች በጣም ደካማ ናቸው ሲያስተናግዱ ለ ደንበኛ ክብር የላቸውም እኔ መመላለስ ከጀመርኩ ቆየው ግን መፍትህ ላገኝ አልችልኩም ::,1,2025-10-12
ዳር ኑሮ ላለው ኣፍሪቻን ው,5,2025-10-12
riyad mohammed abaoli 92 527 2567,5,2025-10-12
it doesn't show bank statement and no options to see transactions for the past months.,2,2025-10-12
mamma husen,2,2025-10-11
3 stars because i can't see all my transaction history apart from the recents and a refresh button has been removed from the recents activity. the app should allow clients to view all of the transactions not just recents.,3,2025-10-11
exceptional application from others bank,5,2025-10-10
"it is very nice. but i have a serious suggestion when you send to other cbe birr customer, it does not show the name of the recipient befor it actually send the money. please improve this",4,2025-10-10
good👍👍👍😊😊😊,5,2025-10-10
really good app,5,2025-10-10
smart bank cbe,5,2025-10-10
ali urgesa11,3,2025-10-09
it's good,5,2025-10-09
good apps,5,2025-10-09
password በጣት አሻራ ቢኖረው መልካም ነበር,4,2025-10-09
best app i ever seen,5,2025-10-09
it's game changing in financial system,4,2025-10-09
"z,mkt 20_._!8+⅓⅕😘r",1,2025-10-09
will good updating,5,2025-10-09
"service charge , vat, fee everything here is not yours they wanna take what you have, everything is not fair",1,2025-10-08
why removing screenshot feature why?,2,2025-10-08
very good application! thank you all who participate!,5,2025-10-08
application bank commercial ethiopia i am very happy to be able to appear in a great job on a pleasant job,5,2025-10-08
user compatible app!,5,2025-10-08
"i am trying to access this app on my android phone, but sometimes doesn't work. so kindly try to improve it.",3,2025-10-07
what an amazing app. you know how much it simplify life. thanks cbe. i proud of you.,5,2025-10-07
our commercial bank of ethiopia is good !,5,2025-10-06
asledin ibsa,5,2025-10-06
terrible when showing history of transaction it shows in disorganised way,3,2025-10-05
my bank,5,2025-10-05
data,5,2025-10-04
"lately i am facing a problem with the app ,and the problem is when log in and inter my pin it doesn't work at all and says 'can't sync' why does it say that i was working fine a few day ago and also it says when i enter my pin 'change your pin to 6 digit pin and it doesn't allow me to change it please solve what is the problem with the app ?",2,2025-10-04
excellent app with lots of features,5,2025-10-04
very good 👍 mobile banking,5,2025-10-04
so special,5,2025-10-04
wiiy ewdihiliw esimirt niho yitnehew metgeyot ❤💞🤔😴🤩😍,1,2025-10-03
woow cbe,5,2025-10-03
cbe the best bank app,4,2025-10-03
this app cbe bank it's simple and smart i like it.,5,2025-10-03
rijalufaris,5,2025-10-02
its best app but i hate the repeatedly update request,5,2025-10-02
imoo,3,2025-10-02
"it was good since it become a robber the vat ,tax,service charge,unbelievable charge to send to other bank, monthly charge,etc i hope one international bank comes and we all leave this bank. enough is enough",1,2025-10-02
screen shoot always not allowed why?,5,2025-10-02
enkorabetalen,5,2025-10-01
gamada mahamadi,1,2025-10-01
it is very good banking web but its network is sometimes busy i hope they willfix the problem,4,2025-09-30
verfcasencod,5,2025-09-30
you can't get your own transaction history,1,2025-09-29
sintu,5,2025-09-29
best,5,2025-09-28
bank of ethiopia,5,2025-09-28
"all most good, but need improvement",5,2025-09-27
"great application for me,so i would like to rate with solid 5 star.that it works well overall. so hello everyone enjoy the apps",5,2025-09-27
poor app all of you guys delete cbe and download boa,1,2025-09-27
niceapp,5,2025-09-27
the best app of all,5,2025-09-25
❤️,5,2025-09-25
"most of the time when i try to open the app, it does not load. the circle keeps spinning as if it is trying to open, and get a message saying "" 2 attempts left for offline login"". this seems to mean that the app cannot connect to the internet, even though i have a stable internet connection, and all other stuff work properly.",2,2025-09-24
juhaar,5,2025-09-24
i am using cbe app very fantastic.,5,2025-09-24
bist app tankyou,4,2025-09-23
this is very useful and consistent app,5,2025-09-23
"this application provides timely service in a good, fast and reliable manner.",5,2025-09-23
so good,5,2025-09-23
it will be more better if the app have the feature receipt verifying from qr code screenshot images from gallery ... currently it works only from direct camera capturing,4,2025-09-23
"from the ux perspective it can be better, it's old and it's not obvious where you can find some things",3,2025-09-22
it is amazing app but it is more better if it is possible to transfer from account to other telebirr,5,2025-09-22
"the app was great while it was active. however, after the app did an update, i lost connection with a message ""network error"". please try to fix it as there are many clients of cbe using this app globally from abroad countries.",3,2025-09-21
very important app,4,2025-09-21
the best of all mobile banking in ethiopia works perfectly fine,5,2025-09-21
dantro band!!!,5,2025-09-21
some time when make transfer from mobile account to other cbebirr wallet no show customer name so please check it......thanks my cbe.. cbebirr application very nice application wallet,5,2025-09-20
this app is very useful but sometimes when you want to see specific transactions it didn't work so that way i gave 3,3,2025-09-20
why i must visit the branch i opened my account to activate the mobile banking services? if it a connected network it maybe done from any branch.,1,2025-09-20
አሪፍ ነው አሁን ደግሞ እስክሪን ሹት ማረግ በመቻሌ ደግብሎኛል,5,2025-09-20
asfaw damse,5,2025-09-19
jabadhaa namatii tolataan,5,2025-09-19
"the app is very good in its interface and user friendly. but it could be a pro app had it had additional feature that let us run multiple accounts on a single phone with an option of ""additional"" account!",3,2025-09-19
the app is user friendly. but i want some amendment or include option of sending money to other tele birr like other cbe birr.,4,2025-09-18
truly amazing!,5,2025-09-18
doesn't have option to generate statement for transactions,3,2025-09-18
😎,5,2025-09-18
janalebl,5,2025-09-17
nice application,5,2025-09-17
waaaaaaaw,1,2025-09-17
very nice,5,2025-09-16
of,5,2025-09-16
it's best app to use recently and upgraded day to day for internationalization,4,2025-09-16
easy to use and not complicated 👍,5,2025-09-15
apdat the app,5,2025-09-14
good in bankin at any time & any where.,5,2025-09-13
great,5,2025-09-13
"what a useless app! transfers, wallet payments, other banks — nothing works. updated, restarted, cleared cache, reinstalled — still useless. crashed and forced me to visit a branch just to log in 3 times. one of the biggest banks in the country can’t fix issues a junior developer could solve. completely unreliable. big bank , zero functionality!",1,2025-09-13
it is best to me,1,2025-09-13
hayizgi mebrahtom feshay,5,2025-09-13
excellent app,5,2025-09-12
after apdate the app doesn't work any thing else it said enable to connects,1,2025-09-12
love,5,2025-09-12
hasasa bank,1,2025-09-11
all ways trusted.,5,2025-09-11
best mb application in ethiopia financial sector.,5,2025-09-11
i like this app,5,2025-09-11
am tired why i have to update every 5 day,1,2025-09-11
usb debugig mode bicha off endidereg axrigu like awash bank,1,2025-09-10
good morning 🙏,5,2025-09-10
am happy 😃,5,2025-09-09
wowww,5,2025-09-08
kehru nasir abfixa,5,2025-09-08
it is well organized.,5,2025-09-08
can't see the nearest branch or atm available,2,2025-09-08
the app does not open,1,2025-09-07
from monk,3,2025-09-06
"amazing, delightful and seamless mobile banking application, i have ever experienced!! indeed, i feel great proud to be part of your stakeholder! my first choice bank, commercial bank of ethiopia, the pioneer and leading in digital banking services in ethiopia! five stars ⭐⭐⭐⭐⭐ are little to you! thank you so much🙏",5,2025-09-06
incredible,5,2025-09-06
የዚህ አፕ ተጠቃሚ ነበርኩ ያለሁት ከሀገር ውጭ ነው እና እየተጠቀምኩበት ሳለ አብደት አድርጊ አለኝ ሳረገው ፓስወርድ እንዴ አድስ ጠየቀኝ እንዴው እኔ አለሁበት ሀገር ሆኘ መስተካከል ከቻለ ተባበሩኝ በጣም አስፈላጊዬ ነው ::,5,2025-09-06
it's the best money transfer app ever,5,2025-09-06
it is nice,5,2025-09-05
user friendly. best.,5,2025-09-05
🙏,5,2025-09-05
አሪፍ,5,2025-09-05
best app!!!,5,2025-09-05
"it is good app and really user friendly , but it not possible to start service after the app is uninstalled or device phone is changed. so please make it easy for us, after once you set us the requirements in your office we should have to use it only by install and launch it. we do not have to visit the near by branch office every time for such silly businesses but important things. in addition to that why is that for hidding senders name or account number how can i know who tranfers to me???",4,2025-09-05
very good app,5,2025-09-05
jabirabdala,5,2025-09-04
unfair cost of transportations... what a shame!!!,1,2025-09-04
"i think it is a good app to use easily. however, i have one more comment: the app does not automatically sync or update the balance in real time. please review this issue. for example, when someone transfers money, the receiver's app does not sync automatically. it requires the user to manually initiate an update to see the current balance.",4,2025-09-04
waw!!! i am proud!!! my strong bank works at best even in a remote location here in malabo (ecuatorial guinea). mewolid mubarak cbe!!!,5,2025-09-04
zinaa ahmed,5,2025-09-04
absolutely excellent,5,2025-09-04
amazing app,5,2025-09-03
perfect and easy,5,2025-09-03
fastest,5,2025-09-03
my account is not working,4,2025-09-03
the recent update is not optimized fir latest version of android,2,2025-09-02
topp,5,2025-09-02
i appreciate it,5,2025-09-01
v.good app,5,2025-09-01
sahib amin jamal,1,2025-08-31
installi,5,2025-08-31
very good apps,5,2025-08-30
👍👍👍👍,1,2025-08-30
the app say it is not compatible with ur phone can u fix it it is not updating.,1,2025-08-30
"i would like to give you some feedback on current update, its very nice and easy to use👍 but in some button there is still not improved for example while iwant to check my recent txn it not well sequenced and arranged or some txn may not appear ... becouse of this i see many of users of this app discomferted maily merchants and those make high txn daily. improve and miximize the txn shown to 300 up to 500. make searchable recent txn button! all in all the bank i relly on! cbe my bank !",5,2025-08-29
tinishu titiba,5,2025-08-29
"essy to use ,has great interface and user-friendly g",5,2025-08-29
yuuuuu,5,2025-08-29
i found it very much friendly,5,2025-08-29
"very useful app, while we use cbe.",5,2025-08-28
woooow,5,2025-08-28
redmi,1,2025-08-28
አርፍ ነው ነገር ግን ሴብ ያረገውን አካውንት እያጠፋብን ነው,5,2025-08-28
kamil aweil,5,2025-08-28
in your next update can you come with night mode future,5,2025-08-27
"truly, super competitive when compared to a well known app nowadays functioning broadly by simplest features and means namely known as telebirr super app, thus, cbe is my top ultimate choice that i prefer over the other bank due to its beautiful power of lead as a result i could recommend cbe to others because of its service provision via ethical principles and practice for customers satisfaction with existence of constraints and challenges face from burglary and froudalent hacker. thank you !",5,2025-08-27
mayreba app you its better if you use other banks,1,2025-08-27
not prefect transfer to other bank the mony not deliverd imidetliy take three or five days,1,2025-08-27
let us know before you shut down the app,4,2025-08-27
excited,5,2025-08-27
amizing,5,2025-08-26
love it,5,2025-08-26
yes it is v good,5,2025-08-26
a great update in the mobile banking application. thanks for the system and customization department,5,2025-08-26
this app is smart.,5,2025-08-26
i am happy,5,2025-08-26
still i have not face critical problems sometimes delay to open,4,2025-08-26
ጤና ከድረ,5,2025-08-25
the connection between bank and the app is lag relationship this must be corrected.,4,2025-08-25
i have forgotten mobail banking password,5,2025-08-25
thank you,5,2025-08-25
muktaar abraahim,5,2025-08-25
🤞good one,5,2025-08-24
why does it say change pin to 6 digits is that right?,4,2025-08-24
one of the worst mobile banking apps in ethiopia. you can't access your txn record for more than 2 weeks.,1,2025-08-24
i like it and aprshat.,4,2025-08-23
"the app has some issues i updated recently and now i am not able to send funds to my telebirr wallet, also we need to have a place we save our contacts where we usually send money to, after update i keep loosing all the important accounts.",4,2025-08-23
best app and easy to use,5,2025-08-23
doesn't work unless with data doesn't refresh fast other wise functions ok but after the update transferring to telebirr is not working,2,2025-08-23
list of transactions can't load over months and years..,1,2025-08-23
transferring money to telebirr is not working,1,2025-08-23
i don't like this app and there service fee is highl,5,2025-08-23
አዲሱ update ጥሩ አይደለም. update ካደረግኩት በኋላ ከዚህ በፊት ስላላክባቸው የነበሩትን save አድርጎ ይዞት የነበረውን ሁሉንም የሰዎች አካውንቶች አጥፍቶብኛል.,2,2025-08-23
this application do not show over all transaction history,3,2025-08-23
this app is very nice but statment history is very shiort atlist add 15 days,4,2025-08-23
"this app stooped working after i updated it. it says change password and i did, but it doesn't open with the new password. i don't like it.",1,2025-08-23
best and secured application,5,2025-08-23
this application is excellent .,5,2025-08-22
"the new update is very bugged. can't view the names of account holders i previously had transactions with, and more recently, its almost impossible to load money to telebirr, always says unable to connect...please fix asap",1,2025-08-22
thise app is great,5,2025-08-22
አፕሊኬሽኑን አብዴት ካደረኩት በኋላ የሚስጥር ቁጥር አጭር ስለሆነ ቀይር ብሎኝ ለሶስት ቀናት ብሞክር unable to connect the server ከማለቱም በላይ አፕሊካሽኑ እየሰራልኝ አይደለም🙏🙏,1,2025-08-22
"i love this app. really, but with some downsides too. screenshot is mandatory after every transaction as to me, i need screenshots not downloaded recipient. it would be even better if transaction history is available via this app for months that we can access directly or via calender ways. thanks.",4,2025-08-22
👍,5,2025-08-22
it is good app,5,2025-08-22
good and always try to make new updats 🙏👍,5,2025-08-22
"i use the commercial bank of ethiopia mobile app, and it’s fantastic! the interface is user-friendly, making it easy to check balances and transfer money. i love the bill payment feature, and the security measures give me peace of mind. overall, it’s a reliable app that has simplified my banking experience. highly recommend!",5,2025-08-22
i don' want,5,2025-08-22
"it's very nice simple and convenient app! but i have only one comment on double verifications after the finger prints. even thought its good for makin' it more secure, its not neccessary to double verify after the finger print verification. no need to verify by pin again. thank you!",5,2025-08-22
one of the best,5,2025-08-22
"why is it every time the app is updated history of previous account numbers keeps missing , why??",1,2025-08-21
you guys charge way to much when we transfer money from cbe to telebirr via this app,3,2025-08-21
not bad apk,1,2025-08-21
yes these app is so good for our saving and marketing system go ethiopia go!!!,5,2025-08-21
best mobile banking app that have seen .,5,2025-08-21
it's very helpful apps,5,2025-08-21
every major update means you have to go back to ethiopia to make the app work. in 2025?,2,2025-08-21
"unable to connect, pls. improve the system",5,2025-08-20
well app,5,2025-08-20
"smart service but, your service charge is too high",5,2025-08-20
perfect 👌 keep,5,2025-08-20
"እባካችሁ አፑ ጥሩ ነው ነገር ግን በፈለግነው ጊዜና ሰአት መጠቀም አልቻልንም ኔትዎርክ እያለ እንኳ እያስጠቀመን አይደለም""""",2,2025-08-20
excellent plus,5,2025-08-20
would be great if it displays service fees before proceeding with transaction.,4,2025-08-20
so disappointing :((,1,2025-08-20
what nice app i never usedyet,4,2025-08-20
excellent,5,2025-08-20
ke gizew ga emihed astemamagn metegberya,1,2025-08-20
"this app is pretty good. the recent one was the nicest. however after the update, it restricts me from taking a screenshot. i would be happy if you remove screenshots restriction policy from this app. why i gave it five stars was because of the past performances of this app. keep in mind to remove the screenshot restriction policy from this app. and also it has no self authorizations. once uninstalled it needs extra sim cards and wants to visit nearby banks in person.",5,2025-08-20
send money for some account but don't reserved ball,5,2025-08-20
very good🙏🙏,5,2025-08-19
i recognized thank you,5,2025-08-19
best feature!!,5,2025-08-19
the saved account totally removed ..why????????,1,2025-08-19
good bank ethiopian very nic,5,2025-08-18
this good app but screenshot must enable,4,2025-08-18
በፊት ብር ትራንስፈር የተደረገባቸዉን አካዉንቶች remove አርጓል የሚያናድድ update ነው ::,1,2025-08-18
