review_text,rating,review_date
great app,5,2025-11-30
good app,5,2025-11-30
very smart app easy to use and friendly,5,2025-11-29
very exemplery app to other bank aps !,5,2025-11-29
good,5,2025-11-29
it is an amazing app,4,2025-11-28
"its fast and easy to communicate to the app and its available all area keep it up.i will make happy for this application thank you dashen bank for your effort,commitment and dedication. i appricated your work.",5,2025-11-26
what do you care about my phone's settings? who are you to tell me what to turn off and on? it is my phone after all. this *develoler option* thing will cost you a lot of users who are willing to leave the bank once and for all. turn this thing off. 6 you fear this is a security issue fix your side not mine.,1,2025-11-25
exceptional product.,5,2025-11-23
very easy app,3,2025-11-23
"the dashen super app is very impressive. it is fast, easy to use, and provides smooth access to all essential banking services. money transfer, bill payment, balance check, and other features work efficiently without issues. the design is clean and user-friendly. great step forward in digital banking — keep up the good work, dashen bank!..",5,2025-11-19
በጣም ፈጣን ሥቹ አስተማማኝ ወድጃዋለው,5,2025-11-18
bill payment options are limited in this app please add ethio telecom bill electric bill etc.. instead of adding nonsense in banking app,1,2025-11-18
"it's a really slow app, i'm not sure what the issue is. even other bank transfers are not working",2,2025-11-18
always updating bad stability,1,2025-11-17
"it say's disable developer option, i disabled it but its not working still",1,2025-11-17
with the super app evry thing i need is just a tap away,5,2025-11-17
nice,5,2025-11-16
eyita tips,1,2025-11-15
clear and presize,5,2025-11-15
smooth and easy!!!,5,2025-11-14
i have had an amazing experience with this app;ot os convenient and easy to use,5,2025-11-14
"all in one super app with smooth navigation, transaction and lifestyle services",5,2025-11-14
very nice app.,5,2025-11-14
system failure transfer to others account,2,2025-11-13
thank you,1,2025-11-13
"only the ui/ux is good, but it doesn't function properly. it's a shame that a leading tech bank has such an app. amole is far better.",1,2025-11-13
"excellent app. to use perfectlly to pay,transfer,tele airtime and so on.",5,2025-11-12
wow dashen bank super app,5,2025-11-12
"this so-called “super app” is a complete disappointment. it’s confusing, slow, and full of glitches honestly, it feels like it was designed to test people’s patience, not to help them bank. calling it “super” is a joke; it’s one of the most useless apps i’ve ever used.",1,2025-11-11
best mobile banking app in ethiopia .,5,2025-11-11
very nice app i have ever seen,5,2025-11-10
nasty bank . even the supper app is not working well. when i am calling them they are not response . please don't use this app because you will loss you time ;energy and everything . hopeless bank .,1,2025-11-10
it's good but is not fast,5,2025-11-09
your financial system must improved,4,2025-11-09
your service is too good,5,2025-11-09
good experience,5,2025-11-09
ok,5,2025-11-08
"amazing app, 👏",5,2025-11-07
wooow,5,2025-11-07
nice app,5,2025-11-07
best,5,2025-11-07
"easy to use, friendly",5,2025-11-06
"12yr more lc, ucp & icc & loan",5,2025-11-06
"not attractive and friendly app. check awash, cbe apps",1,2025-11-06
amzing,5,2025-11-06
"the dashen super app is very impressive. it is fast, easy to use, and provides smooth access to all essential banking services. money transfer, bill payment, balance check, and other features work efficiently without issues. the design is clean and user-friendly. great step forward in digital banking — keep up the good work, dashen bank!",5,2025-11-05
betam kerfafa naw,1,2025-11-05
exceptional,5,2025-11-05
worst app ever,1,2025-11-05
"dashen, always two step ahead.",5,2025-11-05
"please try to fix the barrier between other banks specially with ""commercial bank of ethiopia""",3,2025-11-05
👍,5,2025-11-05
i am using,5,2025-11-05
it is a wonderful app developed by a local talent. it deserves an appreciation. it will continue to evolve with new exciting features.,5,2025-11-05
wonderful app,5,2025-11-05
"i love the app it features are perfect, but it asks to update too many times to activate your need to visit a nearest branch and that takes time. other than that the app is great i like it",5,2025-11-05
go ahead,5,2025-11-05
its supper,5,2025-11-04
good,5,2025-11-04
it's so boring,1,2025-11-04
dashen bank super app is the latest version of online banking system that is the gift from dashen bank for us thanks to dashen,5,2025-11-04
"i rarely leave reviews, but this app truely deserves one.it's efficient ,secure , reliable and makes fanancial tasks effortless.definitely 5 stars for this exceptional app",5,2025-11-04
it has improved very much lately its working more and getting better but yet it is not fully fixed some time at night it doesn't work..i think the problem is it was launched too early.,3,2025-11-04
amazing,5,2025-11-03
wow dashen bank,5,2025-11-03
ብዙ ነጉር ይቀረዋል ወደ አፑ ስገባ በጣም ይዘገያል ባጭሩ ቀርፋፋ ነው,4,2025-11-02
"i just updated my app to the latest version and i couldn't even see my balance, send money or do anything. it says service is unavailable and it will be fixed soon.",5,2025-11-01
it's too slow,1,2025-11-01
"before the recent update, this app was great. now, the home page is cluttered with promotions and banners, which really hurts the experience. i think the app stopped being banking app and started only to promote b/c 95% of the app is only ads, also full of bugs",1,2025-11-01
"this might be the worst banking app i've ever used i dont know why kind of bug it is but suddenly the apps stops working it says ""temporarily unavailable"" for a simple feature like viewing account balance and in person visit was no help it took them longer than 2 hours to fix it and even after that 2 weeks later the same problem just because of this i'm going to stop using the bank altogether which is a shame because it's a decent bank",1,2025-11-01
the worst app ever. extremely unreliable. such a shame for a big bank.,1,2025-10-31
app is too slow not opening fast,1,2025-10-31
"it's seems to have some improvements, i don't know what's going on with this app sometimes get collapseed. this is not expected from dashen bank, which is amongst from famous and greatest banks.",1,2025-10-30
very nise good,5,2025-10-30
very interesting,5,2025-10-30
what your emplyees tell as about the app when they came to our store and what actually the app is different,1,2025-10-30
excellent promotion,5,2025-10-30
viry good,5,2025-10-29
"dashen bank super app is incredibly convenient! easy to use, fast, and reliable – a great app to manage everything in one place.",5,2025-10-29
it is the worst app ever istg 🤮🤮🤮,1,2025-10-29
"dashen super app is a game-changer with its sleek, user-friendly interface. lightning-fast responses and seamless navigation make every task a breeze. love the organized layout and clear features that save time daily. fantastic work—highly recommended for effortless banking!",5,2025-10-28
"the design is clean and modern, and everything works smoothly without bugs. i love how reliable the app is it makes banking so convenient.",5,2025-10-28
"a true banking super app! the dashen super app combines great design, security, and an impressive range of features. highly recommended for anyone looking for a complete digital banking experience.",5,2025-10-28
"​i appreciate that this app allowed me to access multiple services in one centralized place. thank you, dashen bank!",5,2025-10-28
